nome;cpf;idade;sexo;nacionalidade;filme_favorito;emoji_favorito
João Silva;123.456.789-00;25;M;BR;Um herói improvável salva o mundo com humor e coragem;🚀
Maria Souza;987.654.321-00;32;F;US;Uma jovem descobre poderes mágicos em uma escola secreta;🌙
Carlos Perez;456.789.123-00;41;M;AR;Dois irmãos viajam no tempo para consertar erros do passado;⚡
Ana Lima;321.654.987-00;28;F;BR;Uma bailarina luta para alcançar o estrelato em Nova York;🌸
Pedro Gomez;654.321.987-00;35;M;PT;Um detetive resolve crimes impossíveis em Lisboa antiga;🔍
Fernanda Costa;789.123.456-00;22;F;BR;Robôs e humanos convivem em uma cidade futurista caótica;🤖
Lucas Martin;111.222.333-00;47;M;AR;Um cowboy solitário protege uma vila de bandidos cruéis;🌵
Julia Rocha;444.555.666-00;30;F;US;Uma cientista descobre vida alienígena no fundo do oceano;🐙
Rafael Nunes;777.888.999-00;38;M;BR;Um pai busca seu filho desaparecido em uma floresta assombrada;🌲
Camila Torres;222.333.444-00;26;F;PT;Uma pintora cega redescobre o mundo através da música;🎨
Bob Johnson;333.444.555-00;19;M;US;A space cowboy fights robots on Mars;🤠
Yuki Tanaka;666.777.888-00;55;F;BR;Uma samurai protege seu clã de inimigos invisíveis;⚔️
